"VattenID","Vattenkategori","VariabelID","Trendens signifikans","p-värde","Medianförändring per år"
"SE628606-133205","Station","Insjöfisk mört",0,0.5115,0.0797
"SE628606-133205","Station","Insjöfisk totalmängd",0,0.3022,0.2795
"SE670275-146052","Station","Insjöfisk abborre",0,0.4719,0.1303
"SE670275-146052","Station","Insjöfisk antal arter",,,
"SE670275-146052","Station","Insjöfisk mört",1,0.0285,
"SE670275-146052","Station","Insjöfisk totalmängd",0,0.2059,-0.167
"NW664611-148550","Station","Insjöfisk abborre",0,0.2862,-0.3364
"NW664611-148550","Station","Insjöfisk antal arter",,,
"NW664611-148550","Station","Insjöfisk röding",0,0.0662,-0.0236
"NW664611-148550","Station","Insjöfisk totalmängd",0,0.2242,-0.3734
"SE664197-149337","Station","Insjöfisk abborre",1,0.0072,0.3281
"SE664197-149337","Station","Insjöfisk antal arter",,,
"SE664197-149337","Station","Insjöfisk gädda",0,0.327,0.0016
"SE664197-149337","Station","Insjöfisk mört",0,0.1558,0.1189
"SE664197-149337","Station","Insjöfisk totalmängd",1,0.032,0.4456
"SE708512-152086","Station","Insjöfisk abborre",0,0.88,-0.0148
"SE708512-152086","Station","Insjöfisk antal arter",,,
"SE708512-152086","Station","Insjöfisk gädda",0,0.6718,0.0017
"SE708512-152086","Station","Insjöfisk mört",0,0.526,-0.0278
"SE708512-152086","Station","Insjöfisk totalmängd",0,0.4874,-0.1096
"SE657387-162326","Station","Insjöfisk abborre",0,0.4173,-1.5254
"SE657387-162326","Station","Insjöfisk antal arter",,,
"SE657387-162326","Station","Insjöfisk gädda",-1,0.0027,-0.0284
"SE657387-162326","Station","Insjöfisk mört",-1,0.0071,-9.1757
"SE657387-162326","Station","Insjöfisk totalmängd",-1,0.0179,-10.9292
"SE658086-130264","Station","Insjöfisk abborre",0,0.1119,0.0954
"SE658086-130264","Station","Insjöfisk antal arter",,,
"SE658086-130264","Station","Insjöfisk gädda",-1,0.001,-0.0089
"SE658086-130264","Station","Insjöfisk mört",0,0.0691,0.1052
"SE658086-130264","Station","Insjöfisk totalmängd",0,0.0644,0.3249
"SE656640-164224","Station","Insjöfisk abborre",0,0.5283,0.1041
"SE656640-164224","Station","Insjöfisk antal arter",,,
"SE656640-164224","Station","Insjöfisk gädda",0,0.894,0
"SE656640-164224","Station","Insjöfisk mört",-1,0,-1.161
"SE656640-164224","Station","Insjöfisk totalmängd",-1,0.0054,-0.8667
"SE662682-132860","Station","Insjöfisk abborre",0,0.8219,0.1
"SE662682-132860","Station","Insjöfisk antal arter",,,
"SE662682-132860","Station","Insjöfisk totalmängd",0,0.8926,0.073
"SE657886-162585","Station","Insjöfisk abborre",0,0.5445,0.5485
"SE657886-162585","Station","Insjöfisk antal arter",,,
"SE657886-162585","Station","Insjöfisk gädda",0,0.1813,-0
"SE657886-162585","Station","Insjöfisk mört",0,0.5439,0.25
"SE657886-162585","Station","Insjöfisk totalmängd",0,0.8796,-0.2911
"SE657226-163399","Station","Insjöfisk abborre",1,0.0246,0.9587
"SE657226-163399","Station","Insjöfisk antal arter",,,
"SE657226-163399","Station","Insjöfisk gädda",0,0.293,-0
"SE657226-163399","Station","Insjöfisk mört",0,0.1546,-0.5921
"SE657226-163399","Station","Insjöfisk totalmängd",0,0.8267,-0.204
"SE656574-164098","Station","Insjöfisk abborre",0,0.7398,0.0763
"SE656574-164098","Station","Insjöfisk antal arter",,,
"SE656574-164098","Station","Insjöfisk gädda",0,0.8547,0
"SE656574-164098","Station","Insjöfisk totalmängd",0,0.7858,0.0626
"SE706083-132287","Station","Insjöfisk antal arter",,,
"SE706083-132287","Station","Insjöfisk röding",0,0.1202,0.0512
"SE706083-132287","Station","Insjöfisk totalmängd",0,0.1031,0.092
"SE620062-135224","Station","Insjöfisk abborre",0,0.2763,4.5044
"SE620062-135224","Station","Insjöfisk antal arter",,,
"SE620062-135224","Station","Insjöfisk gädda",0,0.9545,-0
"SE620062-135224","Station","Insjöfisk mört",0,0.2763,-1.3214
"SE620062-135224","Station","Insjöfisk totalmängd",0,0.3731,3.6944
"SE649314-149514","Station","Insjöfisk abborre",1,0.0133,0.4473
"SE649314-149514","Station","Insjöfisk antal arter",,,
"SE649314-149514","Station","Insjöfisk gädda",0,0.833,0
"SE649314-149514","Station","Insjöfisk mört",1,0.0382,0.5863
"SE649314-149514","Station","Insjöfisk totalmängd",1,0.0034,1.0514
"SE674570-141911","Station","Insjöfisk abborre",0,0.6204,0.13
"SE674570-141911","Station","Insjöfisk antal arter",,,
"SE674570-141911","Station","Insjöfisk röding",1,0.0428,0.0497
"SE674570-141911","Station","Insjöfisk totalmängd",0,0.3923,0.2278
"NW666191-142252","Station","Insjöfisk abborre",0,0.2604,-0.4233
"NW666191-142252","Station","Insjöfisk antal arter",,,
"NW666191-142252","Station","Insjöfisk gädda",0,0.8123,0
"NW666191-142252","Station","Insjöfisk mört",1,0.0217,1.4557
"NW666191-142252","Station","Insjöfisk totalmängd",0,0.2604,0.8088
"SE622731-136920","Station","Insjöfisk abborre",1,0.0335,2.7237
"SE622731-136920","Station","Insjöfisk antal arter",,,
"SE622731-136920","Station","Insjöfisk gädda",0,0.1007,0.0046
"SE622731-136920","Station","Insjöfisk mört",1,0.0112,1.8581
"SE622731-136920","Station","Insjöfisk totalmängd",0,0.0641,4.4013
"SE619626-135565","Station","Insjöfisk abborre",1,0.0335,5.1772
"SE619626-135565","Station","Insjöfisk antal arter",,,
"SE619626-135565","Station","Insjöfisk gädda",0,0.2006,0
"SE619626-135565","Station","Insjöfisk mört",0,0.6312,0.5353
"SE619626-135565","Station","Insjöfisk totalmängd",1,0.0236,6.487
