"VattenID","Vattenkategori","VariabelID","Trendens signifikans","p-värde","Medianförändring per år","Andel regionala data"
"SE633989-140731","Station","Siktdjup",0,0.0741,-0.02115,0
"SE633989-140731","Station","Sulfat",-1,0,-0.08925,0
"SE633989-140731","Station","Totalt organiskt kol",1,0.0049,0.1771,0
"SE633989-140731","Station","Totalkväve",1,0.0309,2.688,0
"SE633989-140731","Station","Totalfosfor",0,0.6284,0.03656,0
"SE655275-153234","Station","Brunhet",1,0.0209,0.002288,0
"SE655275-153234","Station","Alkalinitet",-1,0.0029,-0.001389,0
"SE655275-153234","Station","Kadmium i vatten",-1,2e-4,-0.002708,0
"SE655275-153234","Station","Konduktivitet",-1,0.0072,-0.03523,0
"SE655275-153234","Station","Lägsta Syrehalt",0,0.3973,-0.002,0
"SE655275-153234","Station","Oorganiskt kväve",0,0.1158,0.7901,0
"SE655275-153234","Station","Bly i vatten",0,0.4298,-0.004792,0
"SE655275-153234","Station","pH",0,1,8.782e-5,0
"SE655275-153234","Station","Lättillgänglig fosfor",-1,0.0195,-0.0641,0
"SE655275-153234","Station","Kisel",1,0.023,19.72,0
"SE655275-153234","Station","Siktdjup",0,0.0683,-0.01204,0
"SE655275-153234","Station","Sulfat",-1,0,-0.06064,0
"SE655275-153234","Station","Totalt organiskt kol",1,3e-4,0.1292,0
"SE655275-153234","Station","Totalkväve",0,0.5738,1.223,0
"SE655275-153234","Station","Totalfosfor",0,0.6029,0.04167,0
"SE642489-151724","Station","Brunhet",1,0.026,3.548e-4,0
"SE642489-151724","Station","Alkalinitet",1,0,6.597e-4,0
"SE642489-151724","Station","Kadmium i vatten",0,0.0524,-1.182e-4,0
"SE642489-151724","Station","Konduktivitet",-1,0,-0.04289,0
"SE642489-151724","Station","Lägsta Syrehalt",0,0.6779,0.01,0
"SE642489-151724","Station","Nickel i vatten",-1,0.0068,-0.00425,0
"SE642489-151724","Station","Oorganiskt kväve",-1,0.0065,-0.7487,0
"SE642489-151724","Station","Bly i vatten",0,0.1428,-0.002274,0
"SE642489-151724","Station","pH",1,1e-4,0.007778,0
"SE642489-151724","Station","Lättillgänglig fosfor",-1,0.0382,-0.02083,0
"SE642489-151724","Station","Kisel",1,0.0237,7.995,0
"SE642489-151724","Station","Siktdjup",0,0.1131,-0.01491,0
"SE642489-151724","Station","Sulfat",-1,0,-0.06406,0
"SE642489-151724","Station","Totalt organiskt kol",1,0.0076,0.025,0
"SE642489-151724","Station","Totalkväve",-1,0.0206,-1.488,0
"SE642489-151724","Station","Totalfosfor",-1,1e-4,-0.1059,0
"SE642489-151724","Station","Temperatur - vår",0,0.8311,-0.00625,0
"SE632080-151245","Station","Brunhet",-1,0.0236,-0.009378,1
"SE632080-151245","Station","Alkalinitet",0,0.2267,-9.565e-4,1
"SE632080-151245","Station","Konduktivitet",-1,0,-0.09544,1
"SE632080-151245","Station","Lägsta Syrehalt",-1,0.046,-0.08983,1
"SE632080-151245","Station","pH",0,0.3771,0.002545,1
"SE632080-151245","Station","Siktdjup",-1,0.0057,-0.0295,1
"SE632080-151245","Station","Totalt organiskt kol",0,0.0527,0.1014,1
"SE632080-151245","Station","Totalkväve",-1,0.0227,-4.67,1
"SE632080-151245","Station","Totalfosfor",0,0.6199,0.03624,1
"SE634360-142750","Station","Alkalinitet",0,0.7489,-0,1
"SE634360-142750","Station","Lägsta Syrehalt",0,0.0629,-0.04282,1
"SE634360-142750","Station","pH",1,0,0.01667,1
"SE634360-142750","Station","Siktdjup",0,0.7223,0.007692,1
"SE634360-142750","Station","Totalt organiskt kol",0,0.0542,0.07143,1
"SE634360-142750","Station","Totalkväve",0,0.6605,1.111,1
"SE634360-142750","Station","Totalfosfor",0,0.4268,-0.05714,1
"SE652650-144945","Station","Brunhet",0,0.4714,-0.001833,1
"SE652650-144945","Station","Alkalinitet",1,0.0318,0.005625,1
"SE652650-144945","Station","Konduktivitet",0,0.3091,0.07308,1
"SE652650-144945","Station","Lägsta Syrehalt",0,0.1528,0.08333,1
"SE652650-144945","Station","Oorganiskt kväve",0,0.4838,-2.278,1
"SE652650-144945","Station","pH",0,0.0901,0.01364,1
"SE652650-144945","Station","Lättillgänglig fosfor",0,0.138,-0.125,1
"SE652650-144945","Station","Kisel",0,0.3633,-20,1
"SE652650-144945","Station","Siktdjup",0,0.1013,-0.0125,1
"SE652650-144945","Station","Totalt organiskt kol",0,0.5157,-0.04545,1
"SE652650-144945","Station","Totalkväve",0,0.1419,-4.615,1
"SE652650-144945","Station","Totalfosfor",0,0.7133,-0.1,1
"SE647050-130644","Station","Brunhet",1,0.001,0.003762,0
"SE647050-130644","Station","Alkalinitet",0,0.6801,-3.125e-5,0
"SE647050-130644","Station","Kadmium i vatten",0,0.4984,2.083e-4,0
"SE647050-130644","Station","Konduktivitet",-1,0.0032,-0.05714,0
"SE647050-130644","Station","Nickel i vatten",0,0.5733,-0.003846,0
"SE647050-130644","Station","Oorganiskt kväve",0,0.4754,-0.2417,0
"SE647050-130644","Station","Bly i vatten",0,0.3281,-0.03325,0
"SE647050-130644","Station","pH",1,0,0.00797,0
"SE647050-130644","Station","Lättillgänglig fosfor",-1,6e-4,-0.06566,0
"SE647050-130644","Station","Kisel",1,0.0166,17.11,0
"SE647050-130644","Station","Siktdjup",-1,0.0011,-0.016,0
"SE647050-130644","Station","Sulfat",-1,0,-0.0864,0
"SE647050-130644","Station","Totalt organiskt kol",1,0.0021,0.1327,0
"SE647050-130644","Station","Totalkväve",0,0.5738,0.7075,0
"SE647050-130644","Station","Totalfosfor",0,0.0514,-0.05556,0
"SE655231-132303","Station","Lägsta Syrehalt",0,0.1625,-0.05,1
"SE664485-150918","Station","Brunhet",0,0.0556,0.001639,1
"SE664485-150918","Station","Alkalinitet",0,0.955,0,1
"SE664485-150918","Station","Kadmium i vatten",-1,4e-4,-0.00078950000000000005,1
"SE664485-150918","Station","Lägsta Syrehalt",0,0.0559,0.0875,1
"SE664485-150918","Station","Nickel i vatten",-1,0,-0.03594,1
"SE664485-150918","Station","Oorganiskt kväve",-1,0.0151,-4.071,1
"SE664485-150918","Station","Bly i vatten",0,0.6157,0.003056,1
"SE664485-150918","Station","pH",0,0.1399,0.004058,1
"SE664485-150918","Station","Lättillgänglig fosfor",-1,0.0083,-0.1071,1
"SE664485-150918","Station","Kisel",1,0,98.11,1
"SE664485-150918","Station","Siktdjup",0,0.0562,-0.01538,1
"SE664485-150918","Station","Totalt organiskt kol",1,0.001,0.09393,1
"SE664485-150918","Station","Totalfosfor",0,0.0902,-0.0875,1
"SE652895-145450","Station","Brunhet",0,0.649,-0.001333,1
"SE652895-145450","Station","Alkalinitet",1,0.0119,0.005,1
"SE652895-145450","Station","Konduktivitet",0,0.3088,-0.03333,1
"SE652895-145450","Station","Lägsta Syrehalt",0,0.6737,-0.007692,1
"SE652895-145450","Station","pH",1,0.0233,0.009554,1
"SE652895-145450","Station","Siktdjup",0,0.4135,-0.01161,1
"SE652895-145450","Station","Totalt organiskt kol",0,0.4705,-0,1
"SE652895-145450","Station","Totalkväve",-1,0.0443,-5,1
"SE652895-145450","Station","Totalfosfor",0,1,-0,1
"SE661206-147901","Station","Brunhet",0,0.4884,-0.01046,0
"SE661206-147901","Station","Alkalinitet",0,0.4285,7.222e-4,0
"SE661206-147901","Station","Konduktivitet",0,0.4884,0.01781,0
"SE661206-147901","Station","Oorganiskt kväve",0,0.3731,3.163,0
"SE661206-147901","Station","pH",0,0.6207,0.005889,0
"SE661206-147901","Station","Lättillgänglig fosfor",0,0.1124,-0.3462,0
"SE661206-147901","Station","Kisel",1,0.0011,107,0
"SE661206-147901","Station","Siktdjup",0,0.8537,6.25e-4,0
"SE661206-147901","Station","Sulfat",0,0.5915,-0.01333,0
"SE661206-147901","Station","Totalt organiskt kol",0,0.7665,0.04444,0
"SE661206-147901","Station","Totalkväve",0,0.7603,7.125,0
"SE661206-147901","Station","Totalfosfor",0,0.3223,1.533,0
"SE643606-130290","Station","Lägsta Syrehalt",0,0.9284,0.0175,1
"SE643606-130290","Station","Siktdjup",0,0.0686,-0.05,1
"SE643606-130290","Station","Totalfosfor",0,0.4409,-0.1406,1
"SE644225-130725","Station","Lägsta Syrehalt",0,1,-0.01429,1
"SE644225-130725","Station","Siktdjup",-1,0.011,-0.05139,1
"SE644225-130725","Station","Totalfosfor",0,0.4207,-0.2143,1
"SE644163-130456","Station","Lägsta Syrehalt",0,0.9284,0.07333,1
"SE644163-130456","Station","Siktdjup",-1,0.0457,-0.05,1
"SE644163-130456","Station","Totalt organiskt kol",0,0.243,-0.125,1
"SE644163-130456","Station","Totalfosfor",0,0.871,0.03403,1
"SE658915-129015","Station","Alkalinitet",1,0,0.001667,1
"SE658915-129015","Station","Konduktivitet",-1,8e-4,-0.04365,1
"SE658915-129015","Station","Lägsta Syrehalt",0,0.673,0.007143,1
"SE658915-129015","Station","pH",1,0.003,0.01184,1
"SE658915-129015","Station","Siktdjup",0,0.3632,0.01508,1
"SE658915-129015","Station","Totalt organiskt kol",0,0.9164,-0.01,1
"SE658915-129015","Station","Totalkväve",-1,0.034,-2.5,1
"SE658915-129015","Station","Totalfosfor",0,0.6919,-0.03709,1
"SE658915-129015","Station","Temperatur - vår",0,0.4096,0.08813,1
"SE646539-150099","Station","Brunhet",0,0.3669,-5.769e-4,1
"SE646539-150099","Station","Alkalinitet",1,0.0339,0.00375,1
"SE646539-150099","Station","Lägsta Syrehalt",-1,0,-0.1463,1
"SE646539-150099","Station","Oorganiskt kväve",-1,4e-4,-5.962,1
"SE646539-150099","Station","pH",1,0,0.01078,1
"SE646539-150099","Station","Siktdjup",0,0.7209,-0.002648,1
"SE646539-150099","Station","Totalt organiskt kol",0,0.797,-0.01077,1
"SE646539-150099","Station","Totalkväve",0,0.0573,-2.5,1
"SE646539-150099","Station","Totalfosfor",-1,5e-4,-0.2868,1
"SE658485-138380","Station","Brunhet",0,0.3727,-0.005154,1
"SE658485-138380","Station","Alkalinitet",1,1e-4,0.002173,1
"SE658485-138380","Station","Konduktivitet",-1,7e-4,-0.04817,1
"SE658485-138380","Station","Lägsta Syrehalt",1,0.0305,0.03022,1
"SE658485-138380","Station","pH",0,0.3224,0.003006,1
"SE658485-138380","Station","Siktdjup",0,0.5163,0.004356,1
"SE658485-138380","Station","Totalt organiskt kol",0,0.2071,-0.06643,1
"SE658485-138380","Station","Totalkväve",-1,0.015,-6.478,1
"SE658485-138380","Station","Totalfosfor",0,0.6151,0.1034,1
"SE656574-164098","Station","Brunhet",0,0.2763,0.001007,0
"SE656574-164098","Station","Alkalinitet",1,6e-4,4.835e-4,0
"SE656574-164098","Station","Kadmium i vatten",-1,7e-4,-9.514e-4,0
"SE656574-164098","Station","Konduktivitet",-1,0.0015,-0.02021,0
"SE656574-164098","Station","Lägsta Syrehalt",0,1,-0.003333,0
"SE656574-164098","Station","Oorganiskt kväve",0,1,0.1212,0
"SE656574-164098","Station","Bly i vatten",0,0.319,-0.003814,0
"SE656574-164098","Station","pH",1,0.0037,0.01561,0
"SE656574-164098","Station","Lättillgänglig fosfor",-1,0.021,-0.02778,0
"SE656574-164098","Station","Kisel",-1,0.0231,-17.49,0
"SE656574-164098","Station","Siktdjup",-1,0.0394,-0.04333,0
"SE656574-164098","Station","Totalt organiskt kol",1,3e-4,0.1317,0
"SE656574-164098","Station","Totalkväve",1,0.0065,2.722,0
"SE656574-164098","Station","Totalfosfor",0,0.5259,0.02183,0
"SE656574-164098","Station","Temperatur - vår",0,0.5536,-0.07059,0
"SE657905-134965","Station","Brunhet",0,0.9453,2.639e-4,1
"SE657905-134965","Station","Alkalinitet",1,0,0.003348,1
"SE657905-134965","Station","Konduktivitet",-1,1e-4,-0.06944,1
"SE657905-134965","Station","Lägsta Syrehalt",0,0.7453,-0.007143,1
"SE657905-134965","Station","pH",1,1e-4,0.01072,1
"SE657905-134965","Station","Siktdjup",0,0.1444,0.014,1
"SE657905-134965","Station","Totalt organiskt kol",0,0.9255,-0.001508,1
"SE657905-134965","Station","Totalkväve",-1,0,-8.276,1
"SE657905-134965","Station","Totalfosfor",0,0.5055,-0.02982,1
"SE658184-134825","Station","Brunhet",0,0.7834,-5.311e-4,1
"SE658184-134825","Station","Alkalinitet",0,0.0956,0.002333,1
"SE658184-134825","Station","Konduktivitet",0,0.0582,-0.08056,1
"SE658184-134825","Station","Lägsta Syrehalt",0,0.0558,0.04444,1
"SE658184-134825","Station","pH",0,0.5445,-0.002888,1
"SE658184-134825","Station","Siktdjup",0,0.9395,-0.0025,1
"SE658184-134825","Station","Totalt organiskt kol",0,0.2255,-0.059520000000000003,1
"SE658184-134825","Station","Totalkväve",-1,0.0027,-8.81,1
"SE658184-134825","Station","Totalfosfor",-1,0.0481,-0.1742,1
"SE628178-142834","Station","Brunhet",0,0.2105,-0.009019,1
"SE628178-142834","Station","Alkalinitet",0,0.5915,0.003889,1
"SE628178-142834","Station","Lägsta Syrehalt",0,0.243,-0.35,1
"SE628178-142834","Station","pH",0,0.5915,-0.005899,1
"SE628178-142834","Station","Siktdjup",1,0.0389,0.06667,1
"SE628178-142834","Station","Totalt organiskt kol",0,1,0.04074,1
"SE628178-142834","Station","Totalkväve",0,0.1074,20.28,1
"SE628178-142834","Station","Totalfosfor",0,0.1524,0.963,1
"SE628178-142834","Station","Temperatur - vår",0,0.243,-0.3143,1
"SE628170-143420","Station","Brunhet",0,0.5915,-0.002878,1
"SE628170-143420","Station","Alkalinitet",0,0.5915,-0.003194,1
"SE628170-143420","Station","Lägsta Syrehalt",0,0.7183,-0.05,1
"SE628170-143420","Station","pH",0,0.1074,-0.02164,1
"SE628170-143420","Station","Siktdjup",1,0.0318,0.1185,1
"SE628170-143420","Station","Totalt organiskt kol",0,0.858,0.08333,1
"SE628170-143420","Station","Totalkväve",0,0.3711,9.568,1
"SE628170-143420","Station","Totalfosfor",0,0.2831,0.563,1
"SE628170-143420","Station","Temperatur - vår",0,0.3232,-0.16,1
"SE665768-164748","Station","Brunhet",0,0.5841,-0.003125,1
"SE665768-164748","Station","Alkalinitet",0,0.1388,0.014,1
"SE665768-164748","Station","Konduktivitet",1,0.0246,0.5273,1
"SE665768-164748","Station","Oorganiskt kväve",0,0.9563,-0.05,1
"SE665768-164748","Station","pH",0,0.3796,0.015,1
"SE665768-164748","Station","Lättillgänglig fosfor",-1,0.0042,-0.2222,1
"SE665768-164748","Station","Kisel",0,0.5112,-38.33,1
"SE665768-164748","Station","Siktdjup",0,0.1376,-0.05,1
"SE665768-164748","Station","Totalt organiskt kol",0,0.5841,-0.1091,1
"SE665768-164748","Station","Totalkväve",0,1,0.75,1
"SE665768-164748","Station","Totalfosfor",0,0.9128,-0.16,1
"SE640930-128645","Station","Lägsta Syrehalt",0,0.419,-0.1,1
"SE640930-128645","Station","Siktdjup",0,0.161,-0.04129,1
"SE640930-128645","Station","Totalt organiskt kol",0,0.3711,-0.1083,1
"SE640930-128645","Station","Totalfosfor",0,0.8064,-0.03846,1
"SE656842-161442","Station","Brunhet",0,0.8482,-0,1
"SE656842-161442","Station","Alkalinitet",0,0.5923,-0.007166,1
"SE656842-161442","Station","Konduktivitet",1,0.0189,0.5,1
"SE656842-161442","Station","Oorganiskt kväve",0,0.7039,-0.03571,1
"SE656842-161442","Station","pH",1,0.0408,0.06,1
"SE656842-161442","Station","Lättillgänglig fosfor",-1,5e-4,-0.1667,1
"SE656842-161442","Station","Kisel",0,0.8794,0.7143,1
"SE656842-161442","Station","Siktdjup",0,0.2978,-0.01909,1
"SE656842-161442","Station","Sulfat",0,0.2415,0.0281,1
"SE656842-161442","Station","Totalt organiskt kol",1,0.0427,0.1299,1
"SE656842-161442","Station","Totalkväve",1,0.043,26,1
"SE656842-161442","Station","Totalfosfor",0,0.271,-0.45,1
"SE648688-151884","Station","Brunhet",0,0.4463,-0.001773,1
"SE648688-151884","Station","Alkalinitet",0,0.706,-1.548e-17,1
"SE648688-151884","Station","Lägsta Syrehalt",-1,0.0023,-0.08074,1
"SE648688-151884","Station","Oorganiskt kväve",0,0.778,-1.292,1
"SE648688-151884","Station","pH",1,0,0.01454,1
"SE648688-151884","Station","Lättillgänglig fosfor",0,0.0877,0.6742,1
"SE648688-151884","Station","Siktdjup",0,0.871,2.265e-4,1
"SE648688-151884","Station","Totalt organiskt kol",0,0.5436,0.03,1
"SE648688-151884","Station","Totalkväve",0,0.3641,3.571,1
"SE648688-151884","Station","Totalfosfor",0,0.315,0.625,1
"SE643072-149923","Station","Brunhet",0,0.1759,-0.001,1
"SE643072-149923","Station","Alkalinitet",1,0,0.00375,1
"SE643072-149923","Station","Lägsta Syrehalt",0,0.3965,-0.008696,1
"SE643072-149923","Station","Oorganiskt kväve",-1,1e-4,-6.25,1
"SE643072-149923","Station","pH",1,0,0.01247,1
"SE643072-149923","Station","Siktdjup",0,0.1097,0.01667,1
"SE643072-149923","Station","Totalt organiskt kol",0,0.234,0.03333,1
"SE643072-149923","Station","Totalkväve",-1,0.005,-4.71,1
"SE643072-149923","Station","Totalfosfor",-1,0,-0.2279,1
"SE640550-135617","Station","Alkalinitet",0,0.5344,0,1
"SE640550-135617","Station","Konduktivitet",0,0.649,0.03,1
"SE640550-135617","Station","Lägsta Syrehalt",1,0.0101,0.1971,1
"SE640550-135617","Station","pH",1,0.0448,0.01014,1
"SE640550-135617","Station","Totalt organiskt kol",0,0.0957,-0.07753,1
"SE640550-135617","Station","Totalkväve",-1,0.0211,-14.96,1
"SE640550-135617","Station","Totalfosfor",0,0.9277,0.003472,1
"SE653017-148572","Station","Brunhet",-1,0.0165,-0.0056,1
"SE653017-148572","Station","Alkalinitet",1,0.0211,0.002778,1
"SE653017-148572","Station","Lägsta Syrehalt",0,0.9168,-0,1
"SE653017-148572","Station","Oorganiskt kväve",-1,1e-4,-13.32,1
"SE653017-148572","Station","pH",1,4e-4,0.02513,1
"SE653017-148572","Station","Siktdjup",0,0.5539,-0.004167,1
"SE653017-148572","Station","Totalt organiskt kol",0,0.4266,-0.04356,1
"SE653017-148572","Station","Totalkväve",-1,0.0092,-8.684,1
"SE653017-148572","Station","Totalfosfor",0,0.8581,-0,1
"SE623624-141149","Station","Brunhet",1,0,0.004877,0
"SE623624-141149","Station","Alkalinitet",0,0.8845,-1.786e-5,0
"SE623624-141149","Station","Kadmium i vatten",-1,0,-0.002,0
"SE623624-141149","Station","Konduktivitet",-1,3e-4,-0.05583,0
"SE623624-141149","Station","Nickel i vatten",0,0.0796,-0.007583,0
"SE623624-141149","Station","Oorganiskt kväve",0,0.7257,0.321,0
"SE623624-141149","Station","Bly i vatten",0,0.1037,0.03072,0
"SE623624-141149","Station","pH",0,0.5779,-0.002494,0
"SE623624-141149","Station","Lättillgänglig fosfor",0,0.3144,-0.02083,0
"SE623624-141149","Station","Kisel",1,0,52.78,0
"SE623624-141149","Station","Siktdjup",-1,6e-4,-0.02839,0
"SE623624-141149","Station","Sulfat",-1,0,-0.08556,0
"SE623624-141149","Station","Totalt organiskt kol",1,0,0.1676,0
"SE623624-141149","Station","Totalkväve",0,0.425,1.128,0
"SE623624-141149","Station","Totalfosfor",0,0.9325,0.001282,0
"SE660550-144850","Station","Brunhet",0,0.1188,-0.001167,1
"SE660550-144850","Station","Alkalinitet",0,0.1578,-5.444e-4,1
"SE660550-144850","Station","Lägsta Syrehalt",1,6e-4,0.08889,1
"SE660550-144850","Station","Oorganiskt kväve",-1,0.0082,-2.667,1
"SE660550-144850","Station","pH",1,7e-4,0.008754,1
"SE660550-144850","Station","Lättillgänglig fosfor",-1,0.0105,-0.0025,1
"SE660550-144850","Station","Siktdjup",-1,0.0446,-0.02143,1
"SE660550-144850","Station","Totalt organiskt kol",1,0.0144,0.06923,1
"SE660550-144850","Station","Totalkväve",-1,0,-4.258,1
"SE660550-144850","Station","Totalfosfor",-1,3e-4,-0.05556,1
"SE657030-154255","Station","Alkalinitet",1,0.0209,0.003031,1
"SE657030-154255","Station","Oorganiskt kväve",-1,0.02,-5.26,1
"SE657030-154255","Station","pH",0,0.0621,0.009545,1
"SE657030-154255","Station","Lättillgänglig fosfor",-1,6e-4,-0.8333,1
"SE657030-154255","Station","Kisel",0,0.4555,19.44,1
"SE657030-154255","Station","Siktdjup",0,0.2735,0.01,1
"SE657030-154255","Station","Totalt organiskt kol",0,0.1509,0.08875,1
"SE657030-154255","Station","Totalkväve",0,0.277,-2,1
"SE657030-154255","Station","Totalfosfor",-1,0.0176,-0.9008,1
"SE642555-168553","Station","Brunhet",0,0.0727,-2.75e-4,0
"SE642555-168553","Station","Alkalinitet",1,0.0097,0.007475,0
"SE642555-168553","Station","Konduktivitet",0,0.8675,0.00625,0
"SE642555-168553","Station","Oorganiskt kväve",0,0.6767,0.4474,0
"SE642555-168553","Station","pH",0,0.317,-0.001654,0
"SE642555-168553","Station","Lättillgänglig fosfor",-1,0.0182,-0.03333,0
"SE642555-168553","Station","Kisel",1,3e-4,20.51,0
"SE642555-168553","Station","Siktdjup",-1,0.005,-0.03333,0
"SE642555-168553","Station","Sulfat",-1,0,-0.1081,0
"SE642555-168553","Station","Totalt organiskt kol",1,0.0063,0.09583,0
"SE642555-168553","Station","Totalkväve",0,0.3153,1.515,0
"SE642555-168553","Station","Totalfosfor",-1,9e-4,-0.1222,0
"SE742442-153530","Station","Brunhet",0,0.9255,1.476e-5,0
"SE742442-153530","Station","Alkalinitet",0,0.1906,2.76e-4,0
"SE742442-153530","Station","Konduktivitet",0,0.1231,-0.004066,0
"SE742442-153530","Station","Oorganiskt kväve",0,0.5125,-0.1028,0
"SE742442-153530","Station","pH",0,0.1831,-0.004374,0
"SE742442-153530","Station","Lättillgänglig fosfor",-1,0.0138,,0
"SE742442-153530","Station","Kisel",0,0.102,2.707,0
"SE742442-153530","Station","Siktdjup",-1,0.0132,-0.1587,0
"SE742442-153530","Station","Sulfat",-1,0,-0.007148,0
"SE742442-153530","Station","Totalt organiskt kol",0,0.2069,-0.02136,0
"SE742442-153530","Station","Totalkväve",-1,0,-7.359,0
"SE742442-153530","Station","Totalfosfor",-1,0,-0.1158,0
"SE644992-151974","Station","Brunhet",0,0.0516,-0.002038,1
"SE644992-151974","Station","Alkalinitet",1,0.0037,0.004035,1
"SE644992-151974","Station","Lägsta Syrehalt",0,0.0785,-0.05714,1
"SE644992-151974","Station","Oorganiskt kväve",-1,0.0031,-11.79,1
