"VattenID","Vattenkategori","VariabelID","Trendens signifikans","p-värde","Medianförändring per år","Andel regionala data","Nationell","Typ"
"SE728095-175926","Station","Total biovolym växtplankton",1,9e-4,0.0097,0,0,"Sjö"
"SE728095-175926","Station","Total biovolym cyanobakterier",0,1,-0,0,0,"Sjö"
"NW627437-149509","Station","Total biovolym växtplankton",1,0.0336,0.0037,0,0,"Sjö"
"NW627437-149509","Station","Bentiskt kvalitetsindex",0,0.1067,-0,0,0,"Sjö"
"NW627437-149509","Station","Total biovolym cyanobakterier",1,0.025,5e-4,0,0,"Sjö"
"SE658086-130264","Station","Total biovolym växtplankton",1,1e-4,0.033,0,0,"Sjö"
"SE658086-130264","Station","Bentiskt kvalitetsindex",-1,0,-0.0139,0,0,"Sjö"
"SE658086-130264","Station","Total biovolym cyanobakterier",0,0.6928,0,0,0,"Sjö"
"NW645343-128665","Station","Total biovolym växtplankton",1,0.0073,0.0186,0,0,"Sjö"
"NW645343-128665","Station","Bentiskt kvalitetsindex",0,0.0925,-0.0011,0,0,"Sjö"
"NW645343-128665","Station","Total biovolym cyanobakterier",0,0.2152,-0.001,0,0,"Sjö"
"SE651578-146163","Station","Total biovolym växtplankton",0,0.1061,0.0108,0,0,"Sjö"
"SE651578-146163","Station","Bentiskt kvalitetsindex",-1,0.0013,-0.0048,0,0,"Sjö"
"SE651578-146163","Station","Total biovolym cyanobakterier",0,0.1231,-0.0019,0,0,"Sjö"
"SE635878-137392","Station","Total biovolym växtplankton",1,0.0293,0.0093,0,0,"Sjö"
"SE635878-137392","Station","Bentiskt kvalitetsindex",-1,0.0192,,0,0,"Sjö"
"SE635878-137392","Station","Total biovolym cyanobakterier",0,0.4064,-1e-4,0,0,"Sjö"
"SE632231-136476","Station","Total biovolym växtplankton",-1,0.0364,-0.0263,0,0,"Sjö"
"SE632231-136476","Station","Bentiskt kvalitetsindex",-1,0.0089,-0.0336,0,0,"Sjö"
"SE632231-136476","Station","Total biovolym cyanobakterier",0,0.6407,0,0,0,"Sjö"
"SE650061-142276","Station","Total biovolym växtplankton",1,1e-4,0.0221,0,0,"Sjö"
"SE650061-142276","Station","Bentiskt kvalitetsindex",-1,0.0014,-0.0128,0,0,"Sjö"
"SE650061-142276","Station","Total biovolym cyanobakterier",1,3e-4,0.0021,0,0,"Sjö"
"SE665654-149206","Station","Total biovolym växtplankton",0,0.1475,0.0075,0,0,"Sjö"
"SE665654-149206","Station","Bentiskt kvalitetsindex",-1,0.014,,0,0,"Sjö"
"SE665654-149206","Station","Total biovolym cyanobakterier",1,0.0437,0.0011,0,0,"Sjö"
"SE663532-148571","Station","Total biovolym växtplankton",1,1e-4,0.0075,0,0,"Sjö"
"SE663532-148571","Station","Bentiskt kvalitetsindex",0,0.4284,-4e-4,0,0,"Sjö"
"SE663532-148571","Station","Total biovolym cyanobakterier",1,0.0092,3e-4,0,0,"Sjö"
"SE708619-162132","Station","Total biovolym växtplankton",1,1e-4,0.0052,0,0,"Sjö"
"SE708619-162132","Station","Bentiskt kvalitetsindex",0,0.1822,-0,0,0,"Sjö"
"SE708619-162132","Station","Total biovolym cyanobakterier",1,0.0048,1e-4,0,0,"Sjö"
"NW652888-125811","Station","Total biovolym växtplankton",-1,0.0158,-0.0274,0,0,"Sjö"
"NW652888-125811","Station","Bentiskt kvalitetsindex",0,0.2581,-0.0044,0,0,"Sjö"
"NW652888-125811","Station","Total biovolym cyanobakterier",1,0.004,1e-4,0,0,"Sjö"
"SE624421-147234","Station","Total biovolym växtplankton",0,0.0534,-0.0247,0,0,"Sjö"
"SE624421-147234","Station","Total biovolym cyanobakterier",1,0.0394,4e-4,0,0,"Sjö"
"SE651573-152481","Station","Total biovolym växtplankton",0,0.2355,0.0039,0,0,"Sjö"
"SE651573-152481","Station","Bentiskt kvalitetsindex",0,0.091,-0,0,0,"Sjö"
"SE651573-152481","Station","Total biovolym cyanobakterier",1,0,3e-4,0,0,"Sjö"
"SE628606-133205","Station","Total biovolym växtplankton",1,0.002,0.0113,0,0,"Sjö"
"SE628606-133205","Station","Bentiskt kvalitetsindex",1,0.009,0.0031,0,0,"Sjö"
"SE628606-133205","Station","Total biovolym cyanobakterier",1,1e-4,0.0012,0,0,"Sjö"
"SE683673-154083","Station","Total biovolym växtplankton",0,0.2942,0.0018,0,0,"Sjö"
"SE683673-154083","Station","Bentiskt kvalitetsindex",0,0.5642,4e-4,0,0,"Sjö"
"SE683673-154083","Station","Total biovolym cyanobakterier",1,1e-4,0.001,0,0,"Sjö"
"SE655605-158820","Station","Total biovolym växtplankton",1,0,0.0147,0,0,"Sjö"
"SE655605-158820","Station","Bentiskt kvalitetsindex",-1,0.0037,-0.0341,0,0,"Sjö"
"SE655605-158820","Station","Total biovolym cyanobakterier",1,1e-4,0.0027,0,0,"Sjö"
"SE631360-146750","Station","Total biovolym växtplankton",0,0.0608,-0.0396,0,0,"Sjö"
"SE631360-146750","Station","Bentiskt kvalitetsindex",-1,0.0033,-0.0444,0,0,"Sjö"
"SE631360-146750","Station","Total biovolym cyanobakterier",1,0,1e-4,0,0,"Sjö"
"SE633025-142267","Station","Total biovolym växtplankton",1,0,0.0185,0,0,"Sjö"
"SE633025-142267","Station","Total biovolym cyanobakterier",1,0,0.0018,0,0,"Sjö"
"NW643960-127717","Station","Total biovolym växtplankton",1,0.009,0.005,0,0,"Sjö"
"NW643960-127717","Station","Total biovolym cyanobakterier",1,0.0363,,0,0,"Sjö"
"SE628535-140170","Station","Klorofyll a",0,1,0,1,0,"Sjö"
"SE622130-134385","Station","Klorofyll a",0,0.094,-0.3674,1,0,"Sjö"
"SE624660-133280","Station","Klorofyll a",0,0.0658,0.0875,1,0,"Sjö"
"SE624740-132930","Station","Klorofyll a",1,0.0155,0.3536,1,0,"Sjö"
"SE758208-161749","Station","Total biovolym växtplankton",1,0.0014,0.0013,0,0,"Sjö"
"SE758208-161749","Station","Total biovolym cyanobakterier",0,0.2701,0,0,0,"Sjö"
"SE633025-142267","Station","Bentiskt kvalitetsindex",0,0.4384,-0.0059,0,0,"Sjö"
"NW643960-127717","Station","Bentiskt kvalitetsindex",0,0.213,-0.0304,0,0,"Sjö"
"SE744629-167999","Station","Total biovolym växtplankton",1,2e-4,0.0072,0,0,"Sjö"
"SE744629-167999","Station","Total biovolym cyanobakterier",0,0.5485,1e-4,0,0,"Sjö"
"SE624421-147234","Station","Bentiskt kvalitetsindex",-1,0.0049,-0.0279,0,0,"Sjö"
"SE685680-154705","Station","Klorofyll a",0,0.2236,0.0307,1,0,"Sjö"
"SE731799-151196","Station","Total biovolym växtplankton",1,0.0018,0.0031,0,0,"Sjö"
"SE731799-151196","Station","Bentiskt kvalitetsindex",0,0.1037,0.0049,0,0,"Sjö"
"SE731799-151196","Station","Total biovolym cyanobakterier",0,0.8344,-0,0,0,"Sjö"
"SE690345-149315","Station","Total biovolym växtplankton",1,7e-4,0.004,0,0,"Sjö"
"SE690345-149315","Station","Total biovolym cyanobakterier",0,0.8647,-0,0,0,"Sjö"
"SE688755-154770","Station","Klorofyll a",1,0.0349,0.1367,1,0,"Sjö"
"SE688445-155275","Station","Klorofyll a",0,0.078,0.0845,1,0,"Sjö"
"SE633790-147515","Station","Klorofyll a",0,0.2385,-0.3261,1,0,"Sjö"
"SE652412-143738","Station","Bentiskt kvalitetsindex",0,0.4136,0.001,0,0,"Sjö"
"SE656515-164330","Station","Bentiskt kvalitetsindex",0,0.5981,5e-4,0,0,"Sjö"
"SE690345-149315","Station","Bentiskt kvalitetsindex",0,1,0,0,0,"Sjö"
"SE670225-150958","Station","Total biovolym växtplankton",0,0.6833,-0.0193,1,0,"Sjö"
"SE670225-150958","Station","Total biovolym cyanobakterier",0,0.3954,-0.0024,1,0,"Sjö"
"SE630250-143760","Station","Klorofyll a",0,0.4644,-0.3836,1,0,"Sjö"
"SE667900-152610","Station","Total biovolym växtplankton",0,0.083,-0.1125,1,0,"Sjö"
"SE667900-152610","Station","Total biovolym cyanobakterier",0,0.7725,-7e-4,1,0,"Sjö"
"SE667072-153125","Station","Total biovolym växtplankton",0,0.622,0.006,1,0,"Sjö"
"SE667072-153125","Station","Total biovolym cyanobakterier",0,0.1139,4e-4,1,0,"Sjö"
"SE667285-152820","Station","Total biovolym växtplankton",0,0.7339,-0.0182,1,0,"Sjö"
"SE667285-152820","Station","Total biovolym cyanobakterier",0,0.0716,0.0364,1,0,"Sjö"
"SE680235-141799","Station","Bentiskt kvalitetsindex",0,1,-0,0,0,"Sjö"
"SE728095-175926","Station","Bentiskt kvalitetsindex",-1,0.0038,-0.0015,0,0,"Sjö"
"SE668410-150850","Station","Total biovolym växtplankton",0,0.1634,-0.623,1,0,"Sjö"
"SE668410-150850","Station","Total biovolym cyanobakterier",0,0.2478,-0.6823,1,0,"Sjö"
"NW653647-125036","Station","Bentiskt kvalitetsindex",1,0.0284,0.0129,0,0,"Sjö"
"SE667617-152835","Station","Total biovolym växtplankton",-1,0.0025,-0.2505,1,0,"Sjö"
"SE667617-152835","Station","Total biovolym cyanobakterier",0,0.5633,-0.0092,1,0,"Sjö"
"NW633246-141963","Station","Bentiskt kvalitetsindex",-1,0.0366,-0.0455,0,0,"Sjö"
"SE744629-167999","Station","Bentiskt kvalitetsindex",0,0.0568,-0.0023,0,0,"Sjö"
"NW683582-154935","Station","Bentiskt kvalitetsindex",0,0.4866,-0,0,0,"Sjö"
"SE673800-147327","Station","Total biovolym växtplankton",0,0.86,0.0021,1,0,"Sjö"
"SE673800-147327","Station","Total biovolym cyanobakterier",0,0.5085,-2e-4,1,0,"Sjö"
"SE671610-149518","Station","Total biovolym växtplankton",0,0.8384,0.0077,1,0,"Sjö"
"SE671610-149518","Station","Total biovolym cyanobakterier",1,5e-4,7e-4,1,0,"Sjö"
"SE677240-143250","Station","Total biovolym växtplankton",0,0.4049,0.002,1,0,"Sjö"
"SE677240-143250","Station","Total biovolym cyanobakterier",1,0.0137,2e-4,1,0,"Sjö"
"SE669970-148384","Station","Total biovolym växtplankton",0,0.8918,0.0018,1,0,"Sjö"
"SE669970-148384","Station","Total biovolym cyanobakterier",0,0.9188,1e-4,1,0,"Sjö"
"SE674800-144770","Station","Total biovolym växtplankton",0,0.7085,6e-4,1,0,"Sjö"
"SE674800-144770","Station","Total biovolym cyanobakterier",0,0.386,1e-4,1,0,"Sjö"
"SE638317-138010","Station","Bentiskt kvalitetsindex",0,0.383,9e-4,0,0,"Sjö"
"SE640364-129240","Station","Bentiskt kvalitetsindex",0,0.6202,0.0043,0,0,"Sjö"
"SE670275-146052","Station","Bentiskt kvalitetsindex",0,0.4555,-0,0,0,"Sjö"
"SE666167-138016","Station","Klorofyll a",0,0.0772,0.1778,1,0,"Sjö"
"NW664611-148550","Station","Bentiskt kvalitetsindex",0,0.72,6e-4,0,0,"Sjö"
"SE758208-161749","Station","Bentiskt kvalitetsindex",0,0.1666,-0.016,0,0,"Sjö"
"SE632080-151245","Station","Klorofyll a",0,0.8348,0.0062,1,0,"Sjö"
"SE634360-142750","Station","Klorofyll a",0,0.0735,0.1333,1,0,"Sjö"
"SE686115-155095","Station","Klorofyll a",0,0.4975,0.023,1,0,"Sjö"
"SE685335-154605","Station","Klorofyll a",0,0.1056,0.0375,1,0,"Sjö"
"SE631430-136160","Station","Klorofyll a",0,0.2166,-0.05,1,0,"Sjö"
"SE615807-134835","Station","Klorofyll a",0,0.9551,-0.0065,1,0,"Sjö"
"SE664790-141285","Station","Klorofyll a",-1,0.0193,-0.33,1,0,"Sjö"
"SE661610-140970","Station","Klorofyll a",0,0.1768,-0.1269,1,0,"Sjö"
"SE667288-138583","Station","Klorofyll a",0,0.3107,0.0742,1,0,"Sjö"
"SE616397-135001","Station","Klorofyll a",0,0.3386,0.7389,1,0,"Sjö"
"SE662475-140655","Station","Klorofyll a",-1,0.0369,-0.1453,1,0,"Sjö"
"SE658545-142370","Station","Klorofyll a",0,0.6068,-0.1366,1,0,"Sjö"
"SE657730-142850","Station","Klorofyll a",0,0.661,0.0381,1,0,"Sjö"
"SE659925-141065","Station","Klorofyll a",0,0.4523,-0.2,1,0,"Sjö"
"SE658915-129015","Station","Klorofyll a",0,0.9472,-0,1,0,"Sjö"
"SE646539-150099","Station","Klorofyll a",0,0.0851,0.1566,1,0,"Sjö"
"SE643072-149923","Station","Klorofyll a",0,0.4176,0.0468,1,0,"Sjö"
"SE653017-148572","Station","Klorofyll a",0,0.843,0.0128,1,0,"Sjö"
"SE644992-151974","Station","Klorofyll a",0,0.0752,1.5278,1,0,"Sjö"
"SE651060-149500","Station","Klorofyll a",0,0.937,0.0175,1,0,"Sjö"
"SE659300-127600","Station","Klorofyll a",0,0.0967,0.05,1,0,"Sjö"
"SE650043-150589","Station","Klorofyll a",0,0.0576,-0.2857,1,0,"Sjö"
"SE644725-150620","Station","Klorofyll a",0,0.2257,0.0214,1,0,"Sjö"
"SE658620-129660","Station","Klorofyll a",0,0.9205,0,1,0,"Sjö"
"SE654430-129635","Station","Klorofyll a",-1,0.0353,-0.0744,1,0,"Sjö"
"SE656470-128975","Station","Klorofyll a",0,0.8229,-0.005,1,0,"Sjö"
"SE651275-150350","Station","Klorofyll a",0,0.0892,0.3065,1,0,"Sjö"
"SE622690-140515","Station","Klorofyll a",0,0.0538,1.86,1,0,"Sjö"
"SE641163-146402","Station","Klorofyll a",0,0.1723,0.0583,1,0,"Sjö"
"SE653370-130195","Station","Klorofyll a",0,0.0598,-0.0636,1,0,"Sjö"
"SE648790-149035","Station","Klorofyll a",0,0.9055,-0.0031,1,0,"Sjö"
"SE643293-146870","Station","Klorofyll a",0,0.2585,0.0286,1,0,"Sjö"
"SE649975-146250","Station","Klorofyll a",0,0.0968,0.0935,1,0,"Sjö"
"SE657900-129060","Station","Klorofyll a",0,0.3553,-0.0195,1,0,"Sjö"
"SE646062-153130","Station","Klorofyll a",1,0.0469,0.0389,1,0,"Sjö"
"SE673476-148942","Station","Total biovolym växtplankton",0,0.6519,0.0042,1,0,"Sjö"
"SE673476-148942","Station","Total biovolym cyanobakterier",0,0.396,-0,1,0,"Sjö"
"SE630475-143615","Station","Klorofyll a",,0.05,-2,1,0,"Sjö"
"SE677800-149235","Station","Total biovolym växtplankton",0,0.6315,0.0035,1,0,"Sjö"
"SE677800-149235","Station","Total biovolym cyanobakterier",0,0.2839,4e-4,1,0,"Sjö"
"SE660550-144850","Station","Klorofyll a",0,0.9813,0,1,0,"Sjö"
"SE664550-145255","Station","Klorofyll a",0,0.3265,-0.119,1,0,"Sjö"
"SE668095-145360","Station","Klorofyll a",0,0.3826,-0.0333,1,0,"Sjö"
"SE668930-152278","Station","Total biovolym växtplankton",0,0.317,-0.003,1,0,"Sjö"
"SE668930-152278","Station","Total biovolym cyanobakterier",1,0.0322,,1,0,"Sjö"
"SE673325-147583","Station","Total biovolym växtplankton",0,0.3699,-0.0088,1,0,"Sjö"
"SE673325-147583","Station","Total biovolym cyanobakterier",0,0.0763,6e-4,1,0,"Sjö"
"SE668662-152168","Station","Total biovolym växtplankton",0,0.3813,-0.0036,1,0,"Sjö"
"SE668662-152168","Station","Total biovolym cyanobakterier",-1,0.0254,,1,0,"Sjö"
"SE672775-148457","Station","Total biovolym växtplankton",-1,0.0035,-0.0324,1,0,"Sjö"
"SE672775-148457","Station","Total biovolym cyanobakterier",1,0.0031,0.0035,1,0,"Sjö"
"SE670515-152176","Station","Total biovolym växtplankton",0,0.955,-0.0011,1,0,"Sjö"
"SE670515-152176","Station","Total biovolym cyanobakterier",1,0.0019,0.0017,1,0,"Sjö"
"SE686325-133875","Station","Total biovolym växtplankton",0,0.5734,5e-4,1,0,"Sjö"
"SE686325-133875","Station","Total biovolym cyanobakterier",0,0.0993,1e-4,1,0,"Sjö"
"SE648950-137940","Station","Klorofyll a",0,0.4017,0.1364,1,0,"Sjö"
"SE663590-145380","Station","Klorofyll a",0,0.5905,0.0108,1,0,"Sjö"
"SE669050-149515","Station","Total biovolym växtplankton",-1,0.0023,-0.0301,1,0,"Sjö"
"SE669050-149515","Station","Total biovolym cyanobakterier",0,0.6767,3e-4,1,0,"Sjö"
"SE660148-145753","Station","Klorofyll a",0,0.1858,0.1684,1,0,"Sjö"
"SE665945-145035","Station","Klorofyll a",0,0.2048,0.0372,1,0,"Sjö"
"SE663250-146150","Station","Klorofyll a",0,0.1678,-0.3485,1,0,"Sjö"
"SE653060-143655","Station","Klorofyll a",0,0.3311,0.0167,1,0,"Sjö"
"SE656535-142575","Station","Klorofyll a",0,0.2898,-0.0571,1,0,"Sjö"
"SE649570-139120","Station","Klorofyll a",0,0.2704,0.1,1,0,"Sjö"
"SE669042-153510","Station","Total biovolym växtplankton",0,0.6118,0.006,1,0,"Sjö"
"SE669042-153510","Station","Total biovolym cyanobakterier",0,0.1143,3e-4,1,0,"Sjö"
"SE675320-140370","Station","Total biovolym växtplankton",,0.05,0.0177,1,0,"Sjö"
"SE675320-140370","Station","Total biovolym cyanobakterier",0,0.2783,6e-4,1,0,"Sjö"
"SE673915-150600","Station","Total biovolym växtplankton",0,0.9667,-1e-4,1,0,"Sjö"
"SE673915-150600","Station","Total biovolym cyanobakterier",0,0.359,3e-4,1,0,"Sjö"
"SE630490-142380","Station","Klorofyll a",0,0.3374,0.25,1,0,"Sjö"
"SE684515-136015","Station","Total biovolym växtplankton",0,0.6753,0.0017,1,0,"Sjö"
"SE684515-136015","Station","Total biovolym cyanobakterier",0,0.1413,0,1,0,"Sjö"
"SE667115-145420","Station","Klorofyll a",1,0.006,0.1429,1,0,"Sjö"
"SE678630-145940","Station","Total biovolym växtplankton",0,0.4986,0.007,1,0,"Sjö"
"SE678630-145940","Station","Total biovolym cyanobakterier",0,0.2594,-1e-4,1,0,"Sjö"
"SE662160-147870","Station","Klorofyll a",0,0.2239,-0.0768,1,0,"Sjö"
"SE669125-148046","Station","Total biovolym växtplankton",0,0.5047,0.0031,1,0,"Sjö"
"SE669125-148046","Station","Total biovolym cyanobakterier",1,6e-4,0.0017,1,0,"Sjö"
"SE641650-138495","Station","Klorofyll a",0,0.1453,0.0412,1,0,"Sjö"
"SE658980-147580","Station","Klorofyll a",1,0.0095,0.3481,1,0,"Sjö"
"SE670938-149512","Station","Total biovolym växtplankton",0,0.1962,-0.0576,1,0,"Sjö"
"SE670938-149512","Station","Total biovolym cyanobakterier",0,0.317,0.0027,1,0,"Sjö"
"SE659728-145030","Station","Klorofyll a",0,0.4401,-0.0207,1,0,"Sjö"
"SE632680-145380","Station","Klorofyll a",0,0.6335,-0.0556,1,0,"Sjö"
"SE630428-144034","Station","Klorofyll a",-1,0.0402,-0.95,1,0,"Sjö"
"SE630500-143950","Station","Klorofyll a",-1,0.0063,-1.1708,1,0,"Sjö"
"SE758208-161749","Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,0.2904,-0.0166,0,0,"Sjö"
"SE758208-161749","Station","MILA 2018",0,0.4282,-0.2368,0,0,"Sjö"
"SE633989-140731","Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,0.402,0.005,0,0,"Sjö"
"SE633989-140731","Station","MILA 2018",0,0.3001,-0.1879,0,0,"Sjö"
"SE655275-153234","Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",1,1e-4,0.0245,0,0,"Sjö"
"SE655275-153234","Station","Total biovolym växtplankton",-1,0.0048,-0.1938,0,0,"Sjö"
"SE655275-153234","Station","Bentiskt kvalitetsindex",0,0.0716,0.0463,0,0,"Sjö"
"SE655275-153234","Station","Total biovolym cyanobakterier",0,0.1583,-0.0024,0,0,"Sjö"
"SE655275-153234","Station","MILA 2018",0,0.0524,0.2702,0,0,"Sjö"
"SE642489-151724","Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",-1,1e-4,-0.0519,0,0,"Sjö"
"SE642489-151724","Station","MILA 2018",0,0.6168,0.1473,0,0,"Sjö"
"SE647050-130644","Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,0.5216,-0.0039,0,0,"Sjö"
"SE647050-130644","Station","Total biovolym växtplankton",0,0.0606,-0.0261,0,0,"Sjö"
"SE647050-130644","Station","Bentiskt kvalitetsindex",0,0.2383,-0,0,0,"Sjö"
"SE647050-130644","Station","Total biovolym cyanobakterier",0,0.6168,-2e-4,0,0,"Sjö"
"SE647050-130644","Station","MILA 2018",0,0.6277,-0.0679,0,0,"Sjö"
"SE623624-141149","Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,0.3541,-0.0055,0,0,"Sjö"
"SE623624-141149","Station","Total biovolym växtplankton",-1,0.0175,-0.0696,0,0,"Sjö"
"SE623624-141149","Station","Bentiskt kvalitetsindex",0,0.5078,-0,0,0,"Sjö"
"SE623624-141149","Station","Total biovolym cyanobakterier",0,0.2266,3e-4,0,0,"Sjö"
"SE623624-141149","Station","MILA 2018",0,0.1718,-0.1715,0,0,"Sjö"
"SE642555-168553","Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",-1,0.0221,-0.0197,0,0,"Sjö"
"SE642555-168553","Station","Total biovolym växtplankton",-1,0.0054,-0.0148,0,0,"Sjö"
"SE642555-168553","Station","Bentiskt kvalitetsindex",0,0.9738,0,0,0,"Sjö"
"SE642555-168553","Station","Total biovolym cyanobakterier",0,0.4874,0.0018,0,0,"Sjö"
"SE642555-168553","Station","MILA 2018",0,0.3092,-0.3966,0,0,"Sjö"
"SE713404-172465","Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,0.9627,0,0,0,"Sjö"
"SE713404-172465","Station","Total biovolym växtplankton",1,0.0255,0.0078,0,0,"Sjö"
"SE713404-172465","Station","Bentiskt kvalitetsindex",0,0.6768,0,0,0,"Sjö"
"SE713404-172465","Station","Total biovolym cyanobakterier",1,0.0106,0.001,0,0,"Sjö"
"SE713404-172465","Station","MILA 2018",0,0.2723,0.2446,0,0,"Sjö"
"SE652707-159032","Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,0.7078,0.0028,0,0,"Sjö"
"SE652707-159032","Station","Total biovolym växtplankton",0,0.4044,0.0022,0,0,"Sjö"
"SE652707-159032","Station","Bentiskt kvalitetsindex",0,0.7224,2e-4,0,0,"Sjö"
"SE652707-159032","Station","Total biovolym cyanobakterier",0,0.2266,-6e-4,0,0,"Sjö"
"SE652707-159032","Station","MILA 2018",0,0.7914,-0.0385,0,0,"Sjö"
"NW627437-149509","Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",-1,0.0446,-0.0113,0,0,"Sjö"
"NW627437-149509","Station","MILA 2018",0,0.9297,0.0308,0,0,"Sjö"
"SE658086-130264","Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,0.2512,0.0106,0,0,"Sjö"
"SE658086-130264","Station","MILA 2018",-1,0.0076,-0.4905,0,0,"Sjö"
"SE664197-149337","Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,0.6765,-0.0011,0,0,"Sjö"
"SE664197-149337","Station","Total biovolym växtplankton",0,0.6315,-0.0028,0,0,"Sjö"
"SE664197-149337","Station","Bentiskt kvalitetsindex",0,0.3217,-0,0,0,"Sjö"
"SE664197-149337","Station","Total biovolym cyanobakterier",1,0.0124,9e-4,0,0,"Sjö"
"SE664197-149337","Station","MILA 2018",0,0.2266,-0.2385,0,0,"Sjö"
"SE656263-156963","Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,0.3772,-0.004,0,0,"Sjö"
"SE656263-156963","Station","Total biovolym växtplankton",0,1,1e-4,0,0,"Sjö"
"SE656263-156963","Station","Total biovolym cyanobakterier",0,0.8701,1e-4,0,0,"Sjö"
"SE656263-156963","Station","MILA 2018",0,0.8948,0.0208,0,0,"Sjö"
"SE713131-144608","Station","Total biovolym växtplankton",1,0.0194,0.0025,0,0,"Sjö"
"SE713131-144608","Station","Total biovolym cyanobakterier",1,2e-4,3e-4,0,0,"Sjö"
"SE638950-140071","Station","Klorofyll a",0,0.7136,0.04,1,0,"Sjö"
"SE663365-161779","Station","Total biovolym växtplankton",0,0.8349,-0.0116,0,0,"Sjö"
"SE663365-161779","Station","Total biovolym cyanobakterier",0,0.2973,-0.0249,0,0,"Sjö"
"SE663907-156927","Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,0.5807,-0.0024,0,0,"Sjö"
"SE663907-156927","Station","Total biovolym växtplankton",0,0.723,0.0042,0,0,"Sjö"
"SE663907-156927","Station","Bentiskt kvalitetsindex",-1,0.0345,,0,0,"Sjö"
"SE663907-156927","Station","Total biovolym cyanobakterier",0,0.2603,7e-4,0,0,"Sjö"
"SE663907-156927","Station","MILA 2018",0,0.7243,0.0405,0,0,"Sjö"
"SE651558-143620","Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,0.4147,-0.006,0,0,"Sjö"
"SE651558-143620","Station","Total biovolym växtplankton",0,0.0551,-0.0543,0,0,"Sjö"
"SE651558-143620","Station","Bentiskt kvalitetsindex",-1,0.019,,0,0,"Sjö"
"SE651558-143620","Station","Total biovolym cyanobakterier",0,0.8025,0,0,0,"Sjö"
