"VattenID","MS_CD","Stationskoordinat E/Y","Stationskoordinat N/X","Vattenkategori","VariabelID","Bedömningsår","Årsvärde","Standardfel","Trendvärde","Antal provtagningstillfällen","Andel regionala data"
"SE696000-156850","WA55967934",609594,6958958,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2001,6.687,,6.877800075732962,2,0
"SE696000-156850","WA55967934",609594,6958958,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2002,6.9719999999999995,,6.877800067733922,2,0
"SE696000-156850","WA55967934",609594,6958958,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2004,7.174,,6.877800049683801,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2005,6.7445,,6.877800039923942,2,0
"SE696000-156850","WA55967934",609594,6958958,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2006,6.607,,6.877800030125991,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2007,6.793,,6.877800020574129,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2008,7.069,,6.877800011311777,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2009,6.897,,6.877800002289733,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2010,6.852,,6.877799993603205,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2011,6.857,,6.8777999853905785,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2012,6.828,,6.877799977765964,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2013,7,,6.877799970825811,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2014,6.897,,6.877799964625275,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2015,7.115,,6.877799959338768,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2016,6.769,,6.87779995518867,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2017,6.538,,6.877799952602793,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2018,6.583,,6.877799951866921,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2019,6.786,,6.877799952958404,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2020,7.304,,6.877799955518466,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","DJ",2000,15,,14.935176398525163,2,0
"SE696000-156850","WA55967934",609594,6958958,"Station","DJ",2001,14.5,,14.617929537444926,2,0
"SE696000-156850","WA55967934",609594,6958958,"Station","DJ",2002,14.5,,14.382865430216505,2,0
"SE696000-156850","WA55967934",609594,6958958,"Station","DJ",2004,14,,14.168737662377783,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","DJ",2005,14.5,,14.489264433182775,2,0
"SE696000-156850","WA55967934",609594,6958958,"Station","DJ",2006,15,,14.859740788804453,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","DJ",2007,15,,15.014155324296327,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","DJ",2008,15,,15.024777744331356,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","DJ",2009,15,,15.009278378015699,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","DJ",2010,15,,14.999476508812535,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","DJ",2011,15,,14.99928559562689,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","DJ",2012,15,,14.999081956346677,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","DJ",2013,15,,15.000229662413057,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","DJ",2014,15,,14.999967369178442,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","DJ",2015,15,,15.000445750690544,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","DJ",2016,15,,15.00034550630448,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","DJ",2017,15,,14.998670616855417,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","DJ",2018,15,,14.993615659782213,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","DJ",2019,15,,14.990244090152574,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","DJ",2020,15,,15.016711586642703,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","IPS",2004,19.1,,19.000218296619867,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","IPS",2005,18.9,,18.903029220404537,2,0
"SE696000-156850","WA55967934",609594,6958958,"Station","IPS",2006,18.9,,18.82160244318822,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","IPS",2007,18.5,,18.788358711945076,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","IPS",2008,18.7,,18.83671680548615,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","IPS",2009,19.1,,18.940957875003395,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","IPS",2010,19,,19.042026072183358,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","IPS",2011,19.2,,19.10360807718164,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","IPS",2012,19.4,,19.09318198060479,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","IPS",2013,18.9,,19.01065696340044,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","IPS",2014,18.7,,18.91458026052704,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","IPS",2015,18.9,,18.847156449662958,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","IPS",2016,18.9,,18.804914784944522,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","IPS",2017,18.7,,18.789715230125108,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","IPS",2018,18.7,,18.81945994672154,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","IPS",2019,19,,18.893934502871502,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","IPS",2020,19,,18.98988237912975,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","MISA",2000,11.4215,,18.890627451692172,2,0
"SE696000-156850","WA55967934",609594,6958958,"Station","MISA",2001,15.8245,,20.014519599870795,2,0
"SE696000-156850","WA55967934",609594,6958958,"Station","MISA",2002,30.049500000000002,,21.19728735312416,2,0
"SE696000-156850","WA55967934",609594,6958958,"Station","MISA",2004,15.384,,23.47549534681542,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","MISA",2005,29.481,,24.503122188473714,2,0
"SE696000-156850","WA55967934",609594,6958958,"Station","MISA",2006,27.901,,25.374636669652674,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","MISA",2007,29.223,,26.039655936537475,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","MISA",2008,31.736,,26.471111310772976,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","MISA",2009,28.211,,26.670402258146215,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","MISA",2010,19.926,,26.673545167715552,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","MISA",2011,27.528,,26.521398462346692,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","MISA",2012,28.752,,26.225318552058713,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","MISA",2013,25.221,,25.790976198153082,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","MISA",2014,25.083,,25.245680861498,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","MISA",2015,22.907,,24.60765068184241,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","MISA",2016,19.602,,23.901515822459185,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","MISA",2017,25.317,,23.126110834951866,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","MISA",2018,19.729,,22.26791788415084,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","MISA",2019,25.311,,21.307426577097736,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","MISA",2020,19.923,,20.226100842639863,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","ACID",2006,6.8,,6.548460801814395,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","ACID",2007,6.1,,6.558548149032662,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","ACID",2008,6.8,,6.556295903222724,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","ACID",2009,6,,6.540939369080364,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","ACID",2010,6.9,,6.5119882963037,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","ACID",2011,6.9,,6.466683920079709,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","ACID",2012,6.8,,6.404541867921977,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","ACID",2013,7.1,,6.327463041430584,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","ACID",2014,5.7,,6.241374836805946,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","ACID",2015,5.7,,6.155018268566641,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","ACID",2016,5.9,,6.075629408040439,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","ACID",2017,5.8,,6.0067310758200385,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","ACID",2018,6,,5.9508222839379155,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","ACID",2019,5.3,,5.908737883309377,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","ACID",2020,6.6,,5.880983698932673,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","ACID",2021,5.6,,5.8657811957008725,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","IPS",2006,18.1,,18.118750257275913,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","IPS",2007,18.2,,18.118750204335438,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","IPS",2008,18,,18.118750152000825,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","IPS",2009,17.9,,18.118750100813454,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","IPS",2010,18.6,,18.11875004968902,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","IPS",2011,18.2,,18.11874999743519,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","IPS",2012,18.7,,18.118749945110796,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","IPS",2013,18.2,,18.118749896621594,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","IPS",2014,17.3,,18.11874985981582,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","IPS",2015,18.1,,18.118749842462183,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","IPS",2016,17.1,,18.118749847649298,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","IPS",2017,18.4,,18.118749874222,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","IPS",2018,18.2,,18.118749915991984,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","IPS",2019,18.4,,18.118749965685396,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","IPS",2020,18.3,,18.118750018784933,1,0
"SE753460-165285","WA34033118",686567,7534424,"Station","IPS",2021,18.2,,18.11875007210618,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","ACID",2006,6.4,,6.443640569271417,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","ACID",2008,6.4,,6.334858613830325,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","ACID",2009,6.6,,6.280466400286983,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","ACID",2010,6.7,,6.226073341604261,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","ACID",2011,6,,6.1716795952995085,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","ACID",2012,6.9,,6.11728527454407,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","ACID",2013,5.3,,6.062890645434344,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","ACID",2014,6.2,,6.008495976650862,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","ACID",2016,5.7,,5.899707394404365,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","ACID",2017,5.1,,5.8453139334800674,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","ACID",2018,5.2,,5.7909211775374905,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","ACID",2019,7.3,,5.736529212766054,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","ACID",2020,4.8,,5.682137864890263,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",1997,7,,6.870761917204853,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2000,6.733,,6.870761754421682,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2001,6.826,,6.870761715976484,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2002,6.857,,6.870761685839444,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2003,7.13,,6.870761663675368,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2004,6.889,,6.870761649577726,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2005,6.889,,6.870761643975954,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2006,6.895,,6.87076164791411,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2007,6.421,,6.870761662211916,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2008,6.895,,6.870761687639457,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2009,6.857,,6.870761723739987,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2010,7.043,,6.870761769669745,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2011,6.625,,6.870761824954687,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2012,6.565,,6.870761889052375,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2013,6.75,,6.8707619610451705,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2014,7.053,,6.8707620385712564,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2016,7,,6.870762200422473,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2017,6.75,,6.870762280512131,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2018,6.92,,6.8707623576899115,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2019,7.318,,6.870762430002172,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2020,6.87,,6.870762495903145,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",1997,14,,14.71428307087325,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",2000,15,,14.714283509299452,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",2001,15,,14.714283729714627,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",2002,13,,14.714283982094562,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",2003,15,,14.714284262300362,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",2004,15,,14.714284562003114,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",2005,15,,14.714284869426427,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",2006,15,,14.714285177937846,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",2007,15,,14.714285479711258,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",2008,14,,14.714285771142109,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",2009,15,,14.714286047903787,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",2010,15,,14.714286303722684,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",2011,15,,14.714286533492567,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",2012,15,,14.714286732864617,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",2013,15,,14.71428690075951,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",2014,14,,14.714287036515664,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",2016,15,,14.714287213048344,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",2017,14,,14.714287249181295,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",2018,15,,14.714287247870868,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",2019,15,,14.714287204534958,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",2020,15,,14.714287115602819,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","IPS",2006,19.4,,19.230769318028415,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","IPS",2008,19,,19.23076926853077,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","IPS",2009,18.9,,19.230769253566425,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","IPS",2010,19.4,,19.230769244531217,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","IPS",2011,19.1,,19.230769237141736,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","IPS",2012,19.8,,19.23076922697201,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","IPS",2013,19.4,,19.230769211165647,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","IPS",2014,19.5,,19.23076919118796,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","IPS",2016,18.1,,19.23076916687246,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","IPS",2017,19.3,,19.230769177566195,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","IPS",2018,19.1,,19.230769202756086,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","IPS",2019,19.6,,19.23076923442642,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","IPS",2020,19.4,,19.230769267254647,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",1997,24.625,,25.83832432063691,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",2000,22.173,,27.231121094227746,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",2001,39.744,,27.69566371021073,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",2002,29.517,,28.160334409498585,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",2003,38.359,,28.625140059316816,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",2004,26.579,,29.090107430727237,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",2005,22.474,,29.555269347823636,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",2006,20.108,,30.02066636615452,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",2007,26.293,,30.48631123180971,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",2008,20.825,,30.95220326525308,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",2009,29.103,,31.418320046798296,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",2010,22.955,,31.884621914465495,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",2011,37.849,,32.35105677969006,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",2012,34.273,,32.81755665270004,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",2013,37.062,,33.2840629318714,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",2014,53.004,,33.750520150848445,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",2016,29.88,,34.68317119286186,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",2017,27.997999999999998,,35.149363347003685,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",2018,43.713,,35.61545894265578,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",2019,29.694000000000003,,36.08143789739563,1,0
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",2020,45.01,,36.5472889080501,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","ACID",2006,6.6,,7.493750436906858,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","ACID",2007,8.6,,7.493750366330602,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","ACID",2008,7.7,,7.493750291490382,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","ACID",2009,7.7,,7.493750212609124,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","ACID",2010,8.4,,7.493750131371451,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","ACID",2011,6.7,,7.493750050657543,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","ACID",2012,7.5,,7.493749975427716,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","ACID",2013,7.9,,7.493749909073289,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","ACID",2014,6.6,,7.493749854818639,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","ACID",2015,7.5,,7.493749816320946,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","ACID",2016,6.3,,7.49374979518881,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","ACID",2017,7,,7.493749791671419,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","ACID",2018,9,,7.493749802548382,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","ACID",2019,6.5,,7.493749823533491,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","ACID",2020,7.3,,7.493749853290711,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","ACID",2021,8.6,,7.493749888760634,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2001,6.368,,6.351749128237454,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2003,6.368,,6.167489767069967,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2004,6.12,,6.0602023006198635,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2005,5.917,,5.9570668775314735,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2006,5.739,,5.875148062156817,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2007,5.455,,5.829727731058641,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2008,5.846,,5.824308548350934,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2009,5.962,,5.845468825883117,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2010,5.92,,5.876860864025175,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2011,5.962,,5.908836945487307,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2012,6.071,,5.935174755744589,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2013,5.929,,5.953983552487578,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2014,5.862,,5.97028271839006,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2015,6.037,,5.987307244056528,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2016,5.963,,6.005078388134307,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2017,6.107,,6.022552651387716,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2018,5.938000000000001,,6.040011080716276,1,0
"SE651076-124118","WA36556832",287970,6505955,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2019,6.106999999999999,,6.058261599576176,1,0
